month,next_month,selected_categories,strategy_return,benchmark_return,excess_return
2024-04,2024-05,B2B|DTC,0.12,0.1064,0.0137
2024-05,2024-06,B2B|DTC,0.12,0.1033,0.0167
2024-06,2024-07,B2B|DTC,0.1125,0.1025,0.01
2024-07,2024-08,B2B|Amazon,0.1124,0.1036,0.0088
2024-08,2024-09,DTC|B2B,0.12,0.0968,0.0232
2024-09,2024-10,B2B|DTC,0.1192,0.1024,0.0168
2024-10,2024-11,B2B|DTC,0.12,0.1077,0.0123
2024-11,2024-12,B2B|DTC,0.12,0.1021,0.0179
2024-12,2025-01,DTC|B2B,0.1156,0.102,0.0136
2025-01,2025-02,B2B|DTC,0.12,0.1006,0.0194
2025-02,2025-03,B2B|DTC,0.12,0.11,0.01
2025-03,2025-04,B2B|DTC,0.12,0.1077,0.0123
2025-04,2025-05,B2B|DTC,0.12,0.1101,0.0099
2025-05,2025-06,B2B|DTC,0.12,0.1069,0.0131
2025-06,2025-07,B2B|DTC,0.12,0.0992,0.0208
2025-07,2025-08,B2B|DTC,0.12,0.0976,0.0224
2025-08,2025-09,B2B|DTC,0.1173,0.109,0.0084
2025-09,2025-10,B2B|DTC,0.12,0.1091,0.0109
2025-10,2025-11,B2B|DTC,0.1196,0.1062,0.0134
2025-11,2025-12,B2B|Amazon,0.1168,0.1084,0.0084
